No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan,Industry
1,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan,Transportation & Logistic
2,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama,Transportation & Logistic
3,BIRD,Blue Bird Tbk.,05 Nov 2014,2.502.100.000,Utama,Transportation & Logistic
4,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,25.940.187.103,Pemantauan Khusus,Transportation & Logistic
5,CMPP,AirAsia Indonesia Tbk.,08 Des 1994,10.685.124.441,Pemantauan Khusus,Transportation & Logistic
6,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,91.480.783.837,Pemantauan Khusus,Transportation & Logistic
7,IMJS,Indomobil Multi Jasa Tbk.,10 Des 2013,8.654.325.000,Pengembangan,Transportation & Logistic
8,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,350.000.022,Pengembangan,Transportation & Logistic
9,MIRA,Mitra International Resources ,30 Jan 1997,3.961.452.039,Pemantauan Khusus,Transportation & Logistic
10,MITI,Mitra Investindo Tbk.,16 Jul 1997,3.540.735.503,Pengembangan,Transportation & Logistic
11,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Okt 2012,2.350.000.000,Pengembangan,Transportation & Logistic
12,SAFE,Steady Safe Tbk,15 Agt 1994,615.145.012,Pengembangan,Transportation & Logistic
13,SDMU,Sidomulyo Selaras Tbk.,12 Jul 2011,1.135.225.000,Pemantauan Khusus,Transportation & Logistic
14,SMDR,Samudera Indonesia  Tbk.,05 Jul 1999,16.375.600.000,Utama,Transportation & Logistic
15,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,10.223.647.156,Pemantauan Khusus,Transportation & Logistic
16,TMAS,Temas Tbk.,09 Jul 2003,57.051.500.000,Utama,Transportation & Logistic
17,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,1.460.554.819,Pengembangan,Transportation & Logistic
18,HELI,Jaya Trishindo Tbk.,27 Mar 2018,832.862.387,Pengembangan,Transportation & Logistic
19,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pengembangan,Transportation & Logistic
20,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan,Transportation & Logistic
21,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3.534.000.000,Pengembangan,Transportation & Logistic
22,SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan,Transportation & Logistic
23,DEAL,Dewata Freightinternational Tb,11 Nov 2018,1.146.170.959,Pemantauan Khusus,Transportation & Logistic
24,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,798.499.394,Pengembangan,Transportation & Logistic
25,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan,Transportation & Logistic
26,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,6.301.930.902,Pemantauan Khusus,Transportation & Logistic
27,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,771.178.020,Akselerasi,Transportation & Logistic
28,TRJA,Transkon Jaya Tbk.,27 Agt 2020,1.510.200.000,Pengembangan,Transportation & Logistic
29,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,2.626.250.000,Pengembangan,Transportation & Logistic
30,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,8.680.000.000,Utama,Transportation & Logistic
31,RCCC,Utama Radar Cahaya Tbk.,02 Agt 2022,787.500.000,Akselerasi,Transportation & Logistic
32,ELPI,Pelayaran Nasional Ekalya Purn,08 Agt 2022,7.412.000.000,Utama,Transportation & Logistic
33,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,2.149.942.974,Pengembangan,Transportation & Logistic
34,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,1.894.375.000,Pengembangan,Transportation & Logistic
35,MPXL,MPX Logistics International Tb,09 Mei 2023,2.000.014.587,Pengembangan,Transportation & Logistic
36,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,3.644.415.975,Pengembangan,Transportation & Logistic
37,LOPI,Logisticsplus International Tb,11 Okt 2023,1.100.011.289,Akselerasi,Transportation & Logistic
38,BLOG,Trimitra Trans Persada Tbk.,10 Jul 2025,3.379.487.200,Utama,Transportation & Logistic
1,ADMG,Polychem Indonesia Tbk,20 Okt 1993,3.889.179.559,Pengembangan,Basic Materials
2,AGII,Samator Indo Gas Tbk.,28 Sep 2016,3.066.660.000,Pengembangan,Basic Materials
3,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan,Basic Materials
4,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Pengembangan,Basic Materials
5,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan,Basic Materials
6,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus,Basic Materials
7,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama,Basic Materials
8,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan,Basic Materials
9,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,Pengembangan,Basic Materials
10,BMSR,Bintang Mitra Semestaraya Tbk,29 Des 1999,1.159.200.024,Pengembangan,Basic Materials
11,BRMS,Bumi Resources Minerals Tbk.,09 Des 2010,141.784.040.338,Utama,Basic Materials
12,BRNA,Berlina Tbk.,06 Nov 1989,979.110.000,Pengembangan,Basic Materials
13,BRPT,Barito Pacific Tbk.,01 Okt 1993,93.747.218.044,Utama,Basic Materials
14,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,720.000.000,Pengembangan,Basic Materials
15,CITA,Cita Mineral Investindo Tbk.,20 Mar 2002,3.960.361.250,Pengembangan,Basic Materials
16,CLPI,Colorpak Indonesia Tbk.,30 Nov 2001,306.338.500,Pengembangan,Basic Materials
17,CTBN,Citra Tubindo Tbk.,28 Nov 1989,800.371.500,Pemantauan Khusus,Basic Materials
18,DKFT,Central Omega Resources Tbk.,21 Nov 1997,5.638.246.600,Pengembangan,Basic Materials
19,DPNS,Duta Pertiwi Nusantara Tbk.,08 Agt 1990,331.129.952,Pengembangan,Basic Materials
20,EKAD,Ekadharma International Tbk.,14 Agt 1990,3.493.875.000,Pengembangan,Basic Materials
21,ESSA,ESSA Industries Indonesia Tbk.,01 Feb 2012,17.226.975.700,Utama,Basic Materials
22,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,4.668.671.400,Pemantauan Khusus,Basic Materials
23,FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,3.221.255.423,Pemantauan Khusus,Basic Materials
24,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,5.566.414.000,Pengembangan,Basic Materials
25,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,9.242.500.000,Pengembangan,Basic Materials
26,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,972.204.500,Pengembangan,Basic Materials
27,INAI,Indal Aluminium Industry Tbk.,05 Des 1994,633.600.000,Pengembangan,Basic Materials
28,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,207.656.617,Pengembangan,Basic Materials
29,INCO,Vale Indonesia Tbk.,16 Mei 1990,10.539.784.534,Utama,Basic Materials
30,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,5.470.982.941,Utama,Basic Materials
31,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,1.388.883.283,Pengembangan,Basic Materials
32,INTD,Inter Delta Tbk,18 Des 1989,591.828.000,Pengembangan,Basic Materials
33,INTP,Indocement Tunggal Prakarsa Tb,05 Des 1989,3.515.602.799,Utama,Basic Materials
34,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,6.443.379.509,Pengembangan,Basic Materials
35,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,7.185.992.035,Utama,Basic Materials
36,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,8.687.995.734,Pemantauan Khusus,Basic Materials
37,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,1.620.000.000,Pengembangan,Basic Materials
38,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,19.346.396.900,Pengembangan,Basic Materials
39,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,96.000.000,Pemantauan Khusus,Basic Materials
40,LTLS,Lautan Luas Tbk.,21 Jul 1997,1.560.000.000,Utama,Basic Materials
41,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,24.472.983.771,Utama,Basic Materials
42,NIKL,Pelat Timah Nusantara Tbk.,14 Des 2009,2.523.350.000,Pengembangan,Basic Materials
43,OKAS,Ancora Indonesia Resources Tbk,29 Mar 2006,2.373.449.165,Pengembangan,Basic Materials
44,PICO,Pelangi Indah Canindo Tbk,23 Sep 1996,568.375.000,Pengembangan,Basic Materials
45,PSAB,J Resources Asia Pasifik Tbk.,22 Apr 2003,26.460.000.000,Pengembangan,Basic Materials
46,SIMA,Siwani Makmur Tbk,03 Jun 1994,442.589.871,Pemantauan Khusus,Basic Materials
47,SMBR,Semen Baturaja Tbk.,28 Jun 2013,9.932.534.336,Utama,Basic Materials
48,SMCB,Solusi Bangun Indonesia Tbk.,10 Agt 1977,9.019.381.973,Pemantauan Khusus,Basic Materials
49,SMGR,Semen Indonesia (Persero) Tbk.,08 Jul 1991,6.751.540.089,Utama,Basic Materials
50,SPMA,Suparma Tbk.,16 Nov 1994,3.154.092.216,Pengembangan,Basic Materials
51,SQMI,Wilton Makmur Indonesia Tbk.,15 Jul 2004,15.537.591.429,Pemantauan Khusus,Basic Materials
52,SRSN,Indo Acidatama Tbk,11 Jan 1993,6.020.000.000,Pengembangan,Basic Materials
53,SULI,SLJ Global Tbk.,21 Mar 1994,6.320.776.836,Pengembangan,Basic Materials
54,TALF,Tunas Alfin Tbk.,17 Jan 2014,1.353.435.000,Pengembangan,Basic Materials
55,TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,734.680.000,Pengembangan,Basic Materials
56,TINS,Timah Tbk.,19 Okt 1995,7.447.753.454,Pemantauan Khusus,Basic Materials
57,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,Pemantauan Khusus,Basic Materials
58,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,Utama,Basic Materials
59,TPIA,Chandra Asri Pacific Tbk.,26 Mei 2008,86.511.545.092,Pengembangan,Basic Materials
60,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,Pengembangan,Basic Materials
61,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,Utama,Basic Materials
62,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,Utama,Basic Materials
63,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,Pemantauan Khusus,Basic Materials
64,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,1.438.370.465,Pemantauan Khusus,Basic Materials
65,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,56.780.478.486,Pemantauan Khusus,Basic Materials
66,KMTR,Kirana Megatara Tbk.,19 Jun 2017,8.215.366.379,Pengembangan,Basic Materials
67,MDKI,Emdeki Utama Tbk.,25 Sep 2017,2.530.150.002,Pengembangan,Basic Materials
68,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,25.250.000.000,Pemantauan Khusus,Basic Materials
69,PBID,Panca Budi Idaman Tbk.,13 Des 2017,7.500.000.000,Utama,Basic Materials
70,TDPM,Tianrong Chemicals Industry Tb,09 Apr 2018,10.485.050.500,Pemantauan Khusus,Basic Materials
71,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,Pemantauan Khusus,Basic Materials
72,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,2.724.036.581,Pengembangan,Basic Materials
73,HKMU,HK Metals Utama Tbk.,09 Okt 2018,3.221.750.000,Pemantauan Khusus,Basic Materials
74,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pemantauan Khusus,Basic Materials
75,SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.418.085.290,Pengembangan,Basic Materials
76,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,12.111.376.157,Pengembangan,Basic Materials
77,OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan,Basic Materials
78,PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Pemantauan Khusus,Basic Materials
79,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,1.109.953.847,Pemantauan Khusus,Basic Materials
80,IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pengembangan,Basic Materials
81,IFII,Indonesia Fibreboard Industry ,10 Des 2019,9.412.000.000,Pengembangan,Basic Materials
82,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,10.250.000.000,Utama,Basic Materials
83,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,3.303.400.000,Pemantauan Khusus,Basic Materials
84,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,45.000.000.000,Pemantauan Khusus,Basic Materials
85,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Pengembangan,Basic Materials
86,ARCI,Archi Indonesia Tbk.,28 Jun 2021,24.835.000.000,Pengembangan,Basic Materials
87,NICL,PAM Mineral Tbk.,09 Jul 2021,10.635.644.907,Pengembangan,Basic Materials
88,SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,929.926.282,Pengembangan,Basic Materials
89,CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,17.125.504.000,Pengembangan,Basic Materials
90,OBMD,OBM Drilchem Tbk.,08 Des 2021,805.992.931,Pengembangan,Basic Materials
91,AVIA,Avia Avian Tbk.,08 Des 2021,61.953.555.600,Utama,Basic Materials
92,CHEM,Chemstar Indonesia Tbk.,08 Jul 2022,1.700.014.594,Pengembangan,Basic Materials
93,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,1.500.000.000,Pemantauan Khusus,Basic Materials
94,PDPP,Primadaya Plastisindo Tbk.,09 Nov 2022,3.061.341.438,Utama,Basic Materials
95,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,1.963.000.000,Pengembangan,Basic Materials
96,PACK,Abadi Nusantara Hijau Investam,08 Feb 2023,1.597.398.988,Akselerasi,Basic Materials
97,AMMN,Amman Mineral Internasional Tb,07 Jul 2023,72.518.217.656,Utama,Basic Materials
98,PPRI,Paperocks Indonesia Tbk.,08 Agt 2023,1.075.027.288,Pengembangan,Basic Materials
99,SMGA,Sumber Mineral Global Abadi Tb,30 Jan 2024,8.750.000.000,Pengembangan,Basic Materials
100,SOLA,Xolare RCR Energy Tbk.,08 Mei 2024,3.284.500.000,Pengembangan,Basic Materials
101,BATR,Benteng Api Technic Tbk.,10 Jun 2024,3.025.037.353,Pengembangan,Basic Materials
102,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,8.890.206.400,Pengembangan,Basic Materials
103,PTMR,Master Print Tbk.,08 Okt 2024,1.907.000.000,Pengembangan,Basic Materials
104,DAAZ,Daaz Bara Lestari Tbk.,11 Nov 2024,1.997.000.000,Utama,Basic Materials
105,DGWG,Delta Giri Wacana Tbk.,13 Jan 2025,5.882.353.000,Utama,Basic Materials
106,MINE,Sinar Terang Mandiri Tbk.,10 Mar 2025,4.084.435.300,Utama,Basic Materials
107,ASPR,Asia Pramulia Tbk.,08 Jul 2025,2.712.000.000,Pengembangan,Basic Materials
108,EMAS,Merdeka Gold Resources Tbk.,23 Sep 2025,16.180.232.675,Pengembangan,Basic Materials
109,AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,853.423.236,Pengembangan,Basic Materials
110,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,63.098.600.000,Utama,Basic Materials
111,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,107.995.419.900,Utama,Basic Materials
112,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,6.082.020.000,Pengembangan,Basic Materials
113,SMLE,Sinergi Multi Lestarindo Tbk.,10 Jan 2024,2.328.153.048,Pengembangan,Basic Materials
1,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama,Properties & Real Estate
2,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama,Properties & Real Estate
3,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,Pengembangan,Properties & Real Estate
4,BCIP,Bumi Citra Permai Tbk.,11 Des 2009,1.429.915.525,Pengembangan,Properties & Real Estate
5,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,9.647.311.150,Utama,Properties & Real Estate
6,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,592.280.000,Pemantauan Khusus,Properties & Real Estate
7,BIPP,Bhuwanatala Indah Permai Tbk.,23 Okt 1995,5.028.669.376,Pemantauan Khusus,Properties & Real Estate
8,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,7.513.992.252,Pemantauan Khusus,Properties & Real Estate
9,BKSL,Sentul City Tbk.,28 Jul 1997,167.708.902.705,Utama,Properties & Real Estate
10,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,21.171.365.812,Utama,Properties & Real Estate
11,COWL,Cowell Development Tbk.,19 Des 2007,4.871.214.021,Pemantauan Khusus,Properties & Real Estate
12,CTRA,Ciputra Development Tbk.,28 Mar 1994,18.535.695.255,Utama,Properties & Real Estate
13,DART,Duta Anggada Realty Tbk.,08 Mei 1990,3.141.390.962,Pengembangan,Properties & Real Estate
14,DILD,Intiland Development Tbk.,04 Sep 1991,10.365.854.185,Utama,Properties & Real Estate
15,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,Utama,Properties & Real Estate
16,DUTI,Duta Pertiwi Tbk,02 Nov 1994,1.850.000.000,Pengembangan,Properties & Real Estate
17,ELTY,Bakrieland Development Tbk.,30 Okt 1995,43.521.913.019,Pemantauan Khusus,Properties & Real Estate
18,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,3.350.000.000,Pengembangan,Properties & Real Estate
19,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,6.400.000.000,Pengembangan,Properties & Real Estate
20,GAMA,Aksara Global Development Tbk.,11 Jul 2012,10.011.027.656,Pemantauan Khusus,Properties & Real Estate
21,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,1.015.380.000,Pengembangan,Properties & Real Estate
22,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,4.276.655.336,Pengembangan,Properties & Real Estate
23,INPP,Indonesian Paradise Property T,12 Jan 2004,11.181.971.732,Pengembangan,Properties & Real Estate
24,JRPT,Jaya Real Property Tbk.,29 Jun 1994,12.910.719.100,Pengembangan,Properties & Real Estate
25,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,20.824.888.369,Utama,Properties & Real Estate
26,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,5.630.000.914,Pemantauan Khusus,Properties & Real Estate
27,LPCK,Lippo Cikarang Tbk,24 Jul 1997,5.134.685.692,Pengembangan,Properties & Real Estate
28,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,70.898.018.369,Utama,Properties & Real Estate
29,LPLI,Star Pacific Tbk,23 Okt 1989,1.170.432.803,Pengembangan,Properties & Real Estate
30,MDLN,Modernland Realty Tbk.,18 Jan 1993,12.533.067.322,Pengembangan,Properties & Real Estate
31,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,948.194.000,Pengembangan,Properties & Real Estate
32,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,6.889.134.608,Utama,Properties & Real Estate
33,MTLA,Metropolitan Land Tbk.,20 Jun 2011,7.655.126.330,Utama,Properties & Real Estate
34,MTSM,Metro Realty Tbk.,08 Jan 1992,232.848.000,Pemantauan Khusus,Properties & Real Estate
35,NIRO,City Retail Developments Tbk.,13 Sep 2012,22.198.871.804,Pengembangan,Properties & Real Estate
36,OMRE,Indonesia Prima Property Tbk,22 Agt 1994,2.945.211.000,Pemantauan Khusus,Properties & Real Estate
37,PLIN,Plaza Indonesia Realty Tbk.,15 Jun 1992,3.550.000.000,Pemantauan Khusus,Properties & Real Estate
38,PPRO,PP Properti Tbk.,19 Mei 2015,61.675.671.883,Pemantauan Khusus,Properties & Real Estate
39,PUDP,Pudjiadi Prestige Tbk.,18 Nov 1994,659.120.000,Pengembangan,Properties & Real Estate
40,PWON,Pakuwon Jati Tbk.,09 Okt 1989,48.159.602.400,Utama,Properties & Real Estate
41,RBMS,Ristia Bintang Mahkotasejati T,19 Des 1997,2.656.212.826,Pemantauan Khusus,Properties & Real Estate
42,RDTX,Roda Vivatex Tbk,14 Mei 1990,268.800.000,Pengembangan,Properties & Real Estate
43,RIMO,Rimo International Lestari Tbk,10 Nov 2000,45.080.600.000,Pemantauan Khusus,Properties & Real Estate
44,RODA,Pikko Land Development Tbk.,22 Okt 2001,13.592.128.209,Pemantauan Khusus,Properties & Real Estate
45,SMDM,Suryamas Dutamakmur Tbk.,12 Okt 1995,4.772.138.237,Pengembangan,Properties & Real Estate
46,SMRA,Summarecon Agung Tbk.,07 Mei 1990,16.508.568.358,Utama,Properties & Real Estate
47,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Pemantauan Khusus,Properties & Real Estate
48,CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.307.000.000,Pengembangan,Properties & Real Estate
49,ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pemantauan Khusus,Properties & Real Estate
50,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,11.004.929.322,Pemantauan Khusus,Properties & Real Estate
51,RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,10.945.000.000,Pengembangan,Properties & Real Estate
52,POLL,Pollux Properties Indonesia Tb,11 Jul 2018,8.318.823.600,Pemantauan Khusus,Properties & Real Estate
53,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,2.792.620.000,Pemantauan Khusus,Properties & Real Estate
54,PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,16.904.501.500,Pengembangan,Properties & Real Estate
55,CITY,Natura City Developments Tbk.,28 Sep 2018,5.405.188.966,Pengembangan,Properties & Real Estate
56,MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan,Properties & Real Estate
57,SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.375.000.000,Pengembangan,Properties & Real Estate
58,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.232.122.640,Pengembangan,Properties & Real Estate
59,POLI,Pollux Hotels Group Tbk.,10 Jan 2019,2.010.526.400,Pemantauan Khusus,Properties & Real Estate
60,CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,2.433.379.958,Pemantauan Khusus,Properties & Real Estate
61,POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pemantauan Khusus,Properties & Real Estate
62,PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Pengembangan,Properties & Real Estate
63,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5.591.980.103,Pemantauan Khusus,Properties & Real Estate
64,NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Pengembangan,Properties & Real Estate
65,REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan,Properties & Real Estate
66,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.480.741.638,Pengembangan,Properties & Real Estate
67,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.551.457.350,Pemantauan Khusus,Properties & Real Estate
68,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus,Properties & Real Estate
69,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan,Properties & Real Estate
70,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan,Properties & Real Estate
71,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan,Properties & Real Estate
72,HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan,Properties & Real Estate
73,ROCK,Rockfields Properti Indonesia ,10 Sep 2020,1.435.185.100,Pemantauan Khusus,Properties & Real Estate
74,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pemantauan Khusus,Properties & Real Estate
75,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan,Properties & Real Estate
76,TRUE,Triniti Dinamik Tbk.,10 Jun 2021,7.571.107.860,Pemantauan Khusus,Properties & Real Estate
77,IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Pemantauan Khusus,Properties & Real Estate
78,WINR,Winner Nusantara Jaya Tbk.,25 Apr 2022,5.235.316.030,Pemantauan Khusus,Properties & Real Estate
79,BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,25.091.882.375,Pengembangan,Properties & Real Estate
80,CBPE,Citra Buana Prasida Tbk.,06 Jan 2023,1.356.250.000,Pengembangan,Properties & Real Estate
81,VAST,Vastland Indonesia Tbk.,08 Feb 2023,3.055.720.674,Pengembangan,Properties & Real Estate
82,SAGE,Saptausaha Gemilangindah Tbk.,08 Mar 2023,8.033.527.260,Pemantauan Khusus,Properties & Real Estate
83,RELF,Graha Mitra Asia Tbk.,22 Jun 2023,5.727.832.195,Akselerasi,Properties & Real Estate
84,HBAT,Minahasa Membangun Hebat Tbk.,07 Agt 2023,1.040.740.800,Akselerasi,Properties & Real Estate
85,GRIA,Ingria Pratama Capitalindo Tbk,08 Agt 2023,7.375.720.674,Pengembangan,Properties & Real Estate
86,MSIE,Multisarana Intan Eduka Tbk.,10 Agt 2023,1.460.007.754,Akselerasi,Properties & Real Estate
87,KOCI,Kokoh Exa Nusantara Tbk.,07 Okt 2023,4.415.600.620,Pengembangan,Properties & Real Estate
88,KSIX,Kentanix Supra International T,08 Jan 2025,2.137.831.800,Pengembangan,Properties & Real Estate
89,CBDK,Bangun Kosambi Sukses Tbk.,13 Jan 2025,5.668.944.500,Utama,Properties & Real Estate
90,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,7.431.530.800,Pengembangan,Properties & Real Estate
91,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,681.823.317,Pemantauan Khusus,Properties & Real Estate
92,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan,Properties & Real Estate
1,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus,Financials
2,ADMF,Adira Dinamika Multi Finance T,31 Mar 2004,1.235.803.109,Pengembangan,Financials
3,AGRO,Bank Raya Indonesia Tbk.,08 Agt 2003,24.493.093.216,Utama,Financials
4,AGRS,Bank IBK Indonesia Tbk.,22 Des 2014,47.367.057.874,Pengembangan,Financials
5,AHAP,Asuransi Harta Aman Pratama Tb,14 Sep 1990,4.900.000.000,Pengembangan,Financials
6,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan,Financials
7,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan,Financials
8,ARTO,Bank Jago Tbk.,12 Jan 2016,13.722.768.400,Utama,Financials
